,제목,가격,리뷰수,리뷰평점,평점비율
88,"*tarbucks by Nespresso Capsules for Vertuo Machines — Blonde Medium Dark Roast — 5 boxes pods total, Coffee Variety Pack, 40 Count",Out of Stock,"2,021",4.6,"['79%', '12%', '5%', '2%', '3%']"
89,"*mazon Brand - 100 Ct. Solimo Medium Roast Coffee Pods, Colombian, Compatible with Keurig 2.0 K-Cup Brewers",Out of Stock,"22,939",4.4,"['69%', '16%', '8%', '3%', '4%']"
90,*cCafé Premium Medium Roast Ground Coffee (24 oz Canister),Out of Stock,"18,652",4.7,"['83%', '11%', '4%', '1%', '2%']"
91,"*innabon Classic Cinnamon Roll, Single-Serve Keurig K-Cup Pods, Flavored Coffee, 48 Count",Out of Stock,"9,312",4.8,"['87%', '7%', '3%', '1%', '2%']"
92,"*lack Rifle Coffee Ground (Just Black (Medium Roast), 12 Ounce)",Out of Stock,"16,275",4.7,"['84%', '9%', '4%', '1%', '2%']"
93,"*mazonFresh Colombia Whole Bean Coffee, Medium Roast, 32 Ounce (Pack of 1)",Out of Stock,"6,388",4.4,"['65%', '20%', '9%', '3%', '3%']"
94,*axwell House Breakfast Blend Light Roast K-Cup Coffee Pods (84 Pods),Out of Stock,"19,764",4.8,"['85%', '10%', '3%', '1%', '1%']"
95,"*mazonFresh Dark Roast Whole Bean Coffee, 32 Ounce (Pack of 1)",Out of Stock,"4,303",4.4,"['65%', '19%', '10%', '3%', '3%']"
96,"*mazonFresh Go For The Bold Ground Coffee, Dark Roast, 32 Ounce (Pack of 1)",Out of Stock,"3,988",4.4,"['66%', '18%', '8%', '3%', '4%']"
97,"*icking Horse Coffee, Kick Ass, Dark Roast, Whole Bean, Certified Organic, Fairtrade, Kosher Coffee, 2.2 Lb, 35.2 Ounce",Out of Stock,"18,504",4.5,"['73%', '15%', '7%', '3%', '3%']"
98,"*axwell House French Roast Tassimo Coffee Brewing Pods (80 Count, 5 Packs of 16)",$39.53,592,4.6,"['79%', '12%', '5%', '2%', '2%']"
99,"*evalia Chocolate Mocha Mild Roast Ground Coffee (12 oz Bags, Pack of 6)",$50.34,571,4.7,"['84%', '7%', '3%', '3%', '3%']"
100,"*eaniac Flavor Freak Madagascar Vanilla | Flavored Light Roast, Single Serve Coffee K Cup Pods | Rainforest Alliance Certified | 30 Compostable, Plant-Based Coffee Pods | Keurig Brewer Compatible",$14.99,728,4.4,"['69%', '16%', '8%', '3%', '3%']"
101,*axwell House Original Medium Roast Ground Coffee (30.6 oz Canister),$4.99,"3,679",4.8,"['88%', '8%', '2%', '1%', '1%']"
102,"*eal Good Coffee Co Whole Bean Coffee, Certified Organic Dark Roast Coffee Beans, 2 Pound Bag",Out of Stock,"4,352",4.5,"['73%', '16%', '7%', '2%', '2%']"
103,"*tarbucks Espresso Dark Roast Whole Bean Coffee, 20 Ounce (Pack of 1)",Out of Stock,"9,365",4.7,"['83%', '10%', '4%', '1%', '2%']"
104,*tarbucks Medium Roast K-Cup Coffee Pods — Breakfast Blend for Keurig Brewers — 1 Box (32 Pods),Out of Stock,"60,461",4.8,"['87%', '8%', '3%', '1%', '2%']"
105,"*rispy Kreme Classic, Single-Serve Keurig K-Cup Pods, Medium Roast Coffee, 96 Count",$47.62,"9,806",4.7,"['82%', '11%', '4%', '1%', '1%']"
106,"*6 Count Variety (12 Amazing Blends), Single serve Pods for Keurig K cups Brewers - Premium Roasted Coffee (Variety, 96 Compatible with 2.0)",Out of Stock,"13,174",4.3,"['67%', '14%', '8%', '4%', '7%']"
107,"*eet's Coffee Major Dickason's Blend, Dark Roast Whole Bean Coffee, 18 oz",Out of Stock,"5,020",4.6,"['79%', '12%', '4%', '2%', '3%']"
108,"*reen Mountain Coffee Roasters Caramel Vanilla Cream, Ground Coffee, Flavored Light Roast, Bagged 12 oz",Out of Stock,"4,054",4.7,"['79%', '12%', '5%', '2%', '2%']"
109,"*EATH WISH COFFEE Ground Coffee Dark Roast [16 oz.] The World's Strongest Coffee - Organic, Fair Trade, Strong Coffee Grounds from Arabica, Robusta (1-Pack)",Out of Stock,"36,628",4.7,"['81%', '9%', '5%', '2%', '2%']"
110,"*olgers Coffee, Classic(Medium) Roast, 51 Ounce",Out of Stock,95,4.8,"['91%', '5%', '2%', '0%', '2%']"
